id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018268_Control	3.98449203556609	6.3918537978252	5.39829955818919	6.10468518152845	6.55221475050667	2.9625789997403	4.97599225292507	8.57285940085506	6.73101563891402	6.26428131970425	4.60810094091944	4.87561937545215	7.65519642368904	7.26713439193719	4.98975640803572	9.08602011533002	0
Train.GSE164760_GSM5018269_Control	3.76346088341553	4.82594050700564	2.18603359611582	4.43961176790792	6.17417398865704	5.67136061541039	4.18658582071851	4.94734401783591	6.14251885841017	5.90392914307533	5.40296709609052	5.26436012611147	8.55759188596793	7.4432158456708	2.84621040028124	8.40202385771281	0
Train.GSE164760_GSM5018270_Control	4.19137378405321	4.48146020888964	5.76332136999191	7.01986370420337	7.55096901091738	4.77001297191032	4.16617707384133	5.20693773869141	5.76265540436676	7.73838257994976	6.0410318259419	4.13398858864877	8.8945285723383	6.10608286869755	4.68089443540019	7.46009333345072	0
Train.GSE164760_GSM5018271_Control	5.44520163919627	4.93947272611424	2.04595695381056	6.21794704606755	7.22411604076597	6.61817633763383	4.48370397856149	5.20693781076014	6.65576415834851	7.7692560283691	5.55706101965903	5.52094613037904	6.72773631757171	6.94211633228399	4.42458451063455	8.96129019030544	0
Train.GSE164760_GSM5018272_Control	4.32062085159088	7.42182189590863	4.7755686044189	6.73269475028369	7.26054592922535	5.92266129297185	3.65871011873807	4.58044428488984	5.04665196214847	6.94056760964747	4.650246121743	4.10460969734629	8.00620461892449	4.22228894638217	4.83242292782726	10.2560481632237	0
Train.GSE164760_GSM5018273_Control	4.28451654823738	5.06285670457784	3.78850498885445	4.88257362564909	6.76510153143981	4.07846588753214	4.10690546867363	5.75525708996983	6.92577534555666	6.15433626003979	5.75131891334752	5.67450830332564	5.45897123140653	7.86178051214383	3.5840156346466	9.42209985164273	0
Train.GSE164760_GSM5018282_Treat	6.12129938720849	4.80536846195029	5.18538299827579	6.6468240263598	7.82049560917422	6.04570930009158	3.01736669145713	3.57762090506385	6.80704707701046	6.51487887230208	3.97089031731043	4.98931527743957	6.17996085614259	6.77030857595449	5.42288883011616	9.31746297292294	1
Train.GSE164760_GSM5018283_Treat	5.55987254072175	4.21377780010473	6.22621925276073	6.00390557885568	6.45653861090658	2.03465720283696	3.93354766946165	3.72982861754054	4.94669808199315	7.14732009761121	4.47493931179017	5.47321736164056	5.09132505751852	6.78295723841898	6.61702620661844	8.93834444875685	1
Train.GSE164760_GSM5018284_Treat	6.06183955117958	5.02874380869686	6.31075469801046	5.93593473812398	6.74058726206789	3.20827602949168	3.93258857382517	4.58492623909344	6.09251687103928	6.76991992301181	4.8687071007036	4.45691489074976	5.60958774040498	7.60414264840234	6.85631028385785	9.04201974078923	1
Train.GSE164760_GSM5018285_Treat	5.05223175948798	6.33384464539434	4.26361269571032	5.77155733384109	6.58091658570843	5.06070741267649	4.16462621114547	5.94101611056149	5.35602474296092	6.54609222147916	4.2440171031985	4.55405916124524	5.61152824747859	6.30612712264235	4.67333215037639	9.77200181505433	1
